	Kule 4			
t	x	y	v	
0.000	-1.929E-2	0.285	
0.033	-1.911E-2	0.284	9.772E-2
0.067	-1.373E-2	0.281	0.235
0.100	-4.375E-3	0.278	0.284
0.133	4.372E-3	0.276	0.318
0.167	1.594E-2	0.272	0.396
0.200	2.966E-2	0.268	0.464
0.234	4.558E-2	0.263	0.548
0.267	6.427E-2	0.257	0.613
0.300	8.404E-2	0.250	0.670
0.334	0.106	0.241	0.755
0.367	0.131	0.231	0.827
0.400	0.157	0.220	0.915
0.434	0.187	0.207	1.005
0.467	0.219	0.193	1.097
0.500	0.253	0.176	1.203
0.534	0.291	0.159	1.288
0.567	0.333	0.144	1.361
0.601	0.379	0.134	1.415
0.634	0.426	0.128	1.438
0.667	0.474	0.128	1.431
0.701	0.522	0.132	1.406
0.734	0.567	0.141	1.359
0.767	0.610	0.151	1.294
0.801	0.651	0.164	1.229
0.834	0.689	0.174	1.179
0.868	0.727	0.182	1.147
0.901	0.764	0.188	1.110
0.934	0.801	0.192	1.084
0.968	0.836	0.194	1.077
1.001	0.872	0.193	1.095
1.034	0.909	0.187	1.128
1.068	0.946	0.176	1.190
1.101	0.984	0.162	1.277
1.134	1.024	0.142	1.371
1.168	1.067	0.123	1.450
1.201	1.115	0.108	1.511
1.235	1.166	0.101	1.545
1.268	1.217	0.101	1.553
1.301	1.269	0.104	1.523
1.335	1.319	0.106	
