	mass A			
t	x	y	v	
1.568	3.804E-3	0.296	
1.602	4.308E-3	0.296	9.744E-2
1.635	1.002E-2	0.294	0.201
1.668	1.658E-2	0.290	0.240
1.702	2.499E-2	0.288	0.285
1.735	3.469E-2	0.285	0.347
1.768	4.703E-2	0.281	0.419
1.802	6.150E-2	0.277	0.492
1.835	7.846E-2	0.271	0.571
1.869	9.774E-2	0.265	0.637
1.902	0.119	0.257	0.704
1.935	0.142	0.248	0.787
1.969	0.168	0.238	0.882
2.002	0.196	0.226	0.966
2.035	0.227	0.212	1.053
2.069	0.260	0.196	1.152
2.102	0.296	0.180	1.247
2.135	0.336	0.164	1.325
2.169	0.380	0.151	1.377
2.202	0.426	0.142	1.414
2.236	0.474	0.140	1.427
2.269	0.521	0.142	1.407
2.302	0.567	0.149	1.361
2.336	0.610	0.159	1.307
2.369	0.651	0.171	1.251
2.402	0.690	0.182	1.188
2.436	0.728	0.192	1.135
2.469	0.765	0.198	1.098
2.502	0.800	0.202	1.075
2.536	0.836	0.205	1.066
2.569	0.872	0.204	1.074
2.603	0.908	0.201	1.095
2.636	0.944	0.196	1.133
2.669	0.981	0.183	1.213
2.703	1.019	0.166	1.298
2.736	1.060	0.146	1.387
2.769	1.103	0.127	1.471
2.803	1.153	0.116	1.530
2.836	1.204	0.112	1.545
2.870	1.256	0.114	1.564
2.903	1.309	0.116	
